action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,18671217,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3cccc(F)c3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,,CHEMBL4250683,,CHEMBL4250683,,0,http://www.openphacts.org/units/Nanomolar,3101031,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,100.0
,,18671225,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccc(C(=O)NN)cc3)cc(-c3ccco3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,,CHEMBL4240576,,CHEMBL4240576,,0,http://www.openphacts.org/units/Nanomolar,3101030,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,100.0
,,18671233,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,CS(=O)(=O)NC(=O)c1ccc(-c2cc(-c3ccc(C#N)cc3)nc(-c3ccco3)c2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '11.27', 'le': '0.21', 'lle': '0.76', 'sei': '4.42'}",CHEMBL4246868,,CHEMBL4246868,5.00,0,http://www.openphacts.org/units/Nanomolar,3101029,=,1,1,=,,IC50,nM,,10000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,10.0
,Not Determined,18671241,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,CNC(=O)c1ccc(-c2cc(-c3ccc(C#N)cc3)nc(-c3ccco3)c2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,,CHEMBL4249213,,CHEMBL4249213,,0,,3101028,,1,0,,,IC50,,,,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,,,,
,,18671249,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccc(-c4nnn[nH]4)cc3)cc(-c3ccco3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '14.60', 'le': '0.26', 'lle': '0.97', 'sei': '5.47'}",CHEMBL4243878,,CHEMBL4243878,5.70,0,http://www.openphacts.org/units/Nanomolar,3101027,=,1,1,=,,IC50,nM,,2000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,2.0
,,18671257,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,c1coc(-c2cc(-c3nccs3)cc(-c3ccc(-c4nccs4)cc3)n2)c1,,,CHEMBL4229470,Bioorg Med Chem,2018,,CHEMBL4248116,,CHEMBL4248116,,0,http://www.openphacts.org/units/Nanomolar,3101026,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,100.0
,,18671265,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccccc3)cc(-c3ccco3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '16.44', 'le': '0.29', 'lle': '-0.25', 'sei': '10.64'}",CHEMBL4240109,,CHEMBL4240109,5.30,0,http://www.openphacts.org/units/Nanomolar,3101025,=,1,1,=,,IC50,nM,,5000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,5.0
,,18671273,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,NC(=O)c1ccc(-c2cc(-c3ccc(-c4cnco4)cc3)nc(-c3ccco3)c2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '13.75', 'le': '0.25', 'lle': '0.17', 'sei': '5.89'}",CHEMBL4237402,,CHEMBL4237402,5.60,0,http://www.openphacts.org/units/Nanomolar,3101024,=,1,1,=,,IC50,nM,,2500.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,2.5
,,18671292,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,NC(=O)c1ccc(-c2cc(-c3ccc(-c4nccs4)cc3)nc(-c3ccco3)c2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '12.52', 'le': '0.23', 'lle': '-0.60', 'sei': '6.46'}",CHEMBL4249055,,CHEMBL4249055,5.30,0,http://www.openphacts.org/units/Nanomolar,3101023,=,1,1,=,,IC50,nM,,5000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,5.0
,,18671301,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,Cn1nncc1-c1cc(-c2ccc(C(N)=O)cc2)cc(-c2ccc(C#N)cc2)n1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '11.56', 'le': '0.21', 'lle': '1.22', 'sei': '3.98'}",CHEMBL4244986,,CHEMBL4244986,4.40,0,http://www.openphacts.org/units/Nanomolar,3101022,=,1,1,=,,IC50,nM,,40000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,40.0
,,18671309,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,Cn1ccnc1-c1cc(-c2ccc(C(N)=O)cc2)cc(-c2ccc(C#N)cc2)n1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '11.59', 'le': '0.21', 'lle': '0.61', 'sei': '4.51'}",CHEMBL4245253,,CHEMBL4245253,4.40,0,http://www.openphacts.org/units/Nanomolar,3101021,=,1,1,=,,IC50,nM,,40000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,40.0
,,18671317,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3cnco3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,,CHEMBL4241092,,CHEMBL4241092,,0,http://www.openphacts.org/units/Nanomolar,3101020,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,100.0
,,18671325,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3cncs3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '11.83', 'le': '0.22', 'lle': '0.01', 'sei': '4.88'}",CHEMBL4247460,,CHEMBL4247460,4.52,0,http://www.openphacts.org/units/Nanomolar,3101019,=,1,1,=,,IC50,nM,,30000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,30.0
,,18671333,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(-c2cc(-c3ccc(C(N)=O)cc3)cc(-c3ccco3)n2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '15.12', 'le': '0.27', 'lle': '0.87', 'sei': '5.94'}",CHEMBL4240401,,CHEMBL4240401,5.52,0,http://www.openphacts.org/units/Nanomolar,3101018,=,1,1,=,,IC50,nM,,3000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,3.0
,,18671358,[],CHEMBL4234738,Binding affinity to ATG-Myc (unknown origin) expressed in CEF cells assessed as inhibition of microtumor formation,B,,,BAO_0000190,BAO_0000219,cell-based format,NC(=O)c1ccc(-c2cc(-c3ccc([N+](=O)[O-])cc3)nc(-c3ccco3)c2)cc1,,,CHEMBL4229470,Bioorg Med Chem,2018,"{'bei': '15.57', 'le': '0.28', 'lle': '1.32', 'sei': '5.34'}",CHEMBL4238599,,CHEMBL4238599,6.00,0,http://www.openphacts.org/units/Nanomolar,3101017,=,1,1,=,,IC50,nM,,1000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,1.0
,,18730039,[],CHEMBL4259985,Binding affinity to recombinant His6-tagged bHLH-LZ domain of human Myc expressed in Escherichia coli strain BL21DE3(plysS) assessed as inhibition of protein/His6-tagged human Max/HEX-tagged double-stranded oligonucleotide complex formation preincubated for 90 mins followed by oligonucleotide adition and measured after 15 mins by electrophoretic mobility shift assays,B,,,BAO_0000190,BAO_0000019,assay format,COC(=O)c1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)c(-c2ccc(C)cc2)c1,,,CHEMBL4257547,Medchemcomm,2018,"{'bei': '11.03', 'le': '0.20', 'lle': '-0.18', 'sei': '3.70'}",CHEMBL4286890,,CHEMBL4286890,4.46,0,http://www.openphacts.org/units/Nanomolar,3111740,=,1,1,=,,IC50,nM,,34800.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,34.8
,,19326532,[],CHEMBL4418440,Binding affinity to recombinant full-length DDK-tagged human c-Myc expressed in HEK293T cells assessed as inhibition of Max/c-Myc protein-protein interaction incubated for 1 hr by ELISA,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1ccc(/C=C2\SC(=O)NC2=O)cc1,,,CHEMBL4418302,,2016,,CHEMBL493742,,CHEMBL493742,,0,http://www.openphacts.org/units/Nanomolar,3229679,>,38,1,>,,IC50,nM,,30000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,30.0
,,19326533,[],CHEMBL4418440,Binding affinity to recombinant full-length DDK-tagged human c-Myc expressed in HEK293T cells assessed as inhibition of Max/c-Myc protein-protein interaction incubated for 1 hr by ELISA,B,,,BAO_0000190,BAO_0000219,cell-based format,NC(=O)c1ccccc1Nc1ccc([N+](=O)[O-])c2nonc12,,,CHEMBL4418302,,2016,,CHEMBL4531517,,CHEMBL4531517,,0,http://www.openphacts.org/units/Nanomolar,3229680,>,38,1,>,,IC50,nM,,30000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,30.0
,,19326534,[],CHEMBL4418440,Binding affinity to recombinant full-length DDK-tagged human c-Myc expressed in HEK293T cells assessed as inhibition of Max/c-Myc protein-protein interaction incubated for 1 hr by ELISA,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(NCc1cccc(B(O)O)c1)c1ccccc1Nc1ccc([N+](=O)[O-])c2nonc12,,,CHEMBL4418302,,2016,"{'bei': '10.66', 'le': None, 'lle': None, 'sei': None}",CHEMBL4560104,,CHEMBL4560104,4.62,0,http://www.openphacts.org/units/Nanomolar,3229681,=,38,1,=,,IC50,nM,,24000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,24.0
,,19326535,[],CHEMBL4418440,Binding affinity to recombinant full-length DDK-tagged human c-Myc expressed in HEK293T cells assessed as inhibition of Max/c-Myc protein-protein interaction incubated for 1 hr by ELISA,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(NCc1ccc(B(O)O)cc1)c1ccccc1Nc1ccc([N+](=O)[O-])c2nonc12,,,CHEMBL4418302,,2016,,CHEMBL4457513,,CHEMBL4457513,,0,http://www.openphacts.org/units/Nanomolar,3229682,>,38,1,>,,IC50,nM,,30000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,30.0
,,19326536,[],CHEMBL4418440,Binding affinity to recombinant full-length DDK-tagged human c-Myc expressed in HEK293T cells assessed as inhibition of Max/c-Myc protein-protein interaction incubated for 1 hr by ELISA,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1ccc(/C=C2\SC(=O)N(CCNC(=O)[C@H]3C[C@@H]4C[C@H]3[C@@H](O)[C@H]4O)C2=O)cc1,,,CHEMBL4418302,,2016,,CHEMBL4549582,,CHEMBL4549582,,0,http://www.openphacts.org/units/Nanomolar,3229683,>,38,1,>,,IC50,nM,,30000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,30.0
,,19326537,[],CHEMBL4418440,Binding affinity to recombinant full-length DDK-tagged human c-Myc expressed in HEK293T cells assessed as inhibition of Max/c-Myc protein-protein interaction incubated for 1 hr by ELISA,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1ccc(/C=C2\SC(=O)N(CC[C@H]3C[C@@H]4C[C@H]3[C@@H](O)[C@H]4O)C2=O)cc1,,,CHEMBL4418302,,2016,,CHEMBL4558369,,CHEMBL4558369,,0,http://www.openphacts.org/units/Nanomolar,3229684,>,38,1,>,,IC50,nM,,30000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,30.0
,,19326538,[],CHEMBL4418440,Binding affinity to recombinant full-length DDK-tagged human c-Myc expressed in HEK293T cells assessed as inhibition of Max/c-Myc protein-protein interaction incubated for 1 hr by ELISA,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1ccc(/C=C2\SC(=O)N(CCNC(=O)[C@H]3C[C@H]4C=C[C@@H]3C4)C2=O)cc1,,,CHEMBL4418302,,2016,,CHEMBL4591505,,CHEMBL4591505,,0,http://www.openphacts.org/units/Nanomolar,3229685,>,38,1,>,,IC50,nM,,30000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,30.0
,,19326539,[],CHEMBL4418440,Binding affinity to recombinant full-length DDK-tagged human c-Myc expressed in HEK293T cells assessed as inhibition of Max/c-Myc protein-protein interaction incubated for 1 hr by ELISA,B,,,BAO_0000190,BAO_0000219,cell-based format,CCc1ccc(/C=C2\SC(=O)N(CC[C@H]3C[C@H]4C=C[C@@H]3C4)C2=O)cc1,,,CHEMBL4418302,,2016,,CHEMBL4574078,,CHEMBL4574078,,0,http://www.openphacts.org/units/Nanomolar,3229686,>,38,1,>,,IC50,nM,,30000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,30.0
,,19330313,[],CHEMBL4418662,Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(CCS(=O)(=O)c2ccccc2)Cc2ccccc2[C@@H]2OC(c3ccc(OCCCO)cc3)=N[C@]12Cc1ccccc1,,,CHEMBL4418487,,2017,"{'bei': '9.33', 'le': '0.18', 'lle': '0.94', 'sei': '5.40'}",CHEMBL4435266,,CHEMBL4435266,5.70,0,http://www.openphacts.org/units/Nanomolar,3231766,=,38,1,=,,IC50,nM,,1990.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,11.7,1.99
,,19330314,[],CHEMBL4418662,Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCOCCOCCNC(=O)OCCCOc1ccc(C2=N[C@]3(Cc4ccccc4)CN(CCS(=O)(=O)c4ccccc4)Cc4ccccc4[C@@H]3O2)cc1,,,CHEMBL4418487,,2017,"{'bei': '5.28', 'le': '0.10', 'lle': '-0.58', 'sei': '2.70'}",CHEMBL4525069,,CHEMBL4525069,5.27,0,http://www.openphacts.org/units/Nanomolar,3231767,=,38,1,=,,IC50,nM,,5380.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,5.38
,,19330315,[],CHEMBL4418662,Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)[C@@]1(Cc2ccccc2)N=C(c2ccccc2)O[C@H]1c1ccccc1CN=[N+]=[N-],,,CHEMBL4418487,,2017,"{'bei': '12.50', 'le': '0.23', 'lle': '0.16', 'sei': '5.52'}",CHEMBL4525922,,CHEMBL4525922,5.33,0,http://www.openphacts.org/units/Nanomolar,3231768,=,38,1,=,,IC50,nM,,4670.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,4.67
,,19330316,[],CHEMBL4418662,Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1NCc2ccccc2[C@@H]2OC(c3ccccc3)=C[C@]12Cc1ccccc1,,,CHEMBL4418487,,2017,"{'bei': '13.46', 'le': '0.24', 'lle': '0.29', 'sei': '12.90'}",CHEMBL4572467,,CHEMBL4572467,4.95,0,http://www.openphacts.org/units/Nanomolar,3231769,=,38,1,=,,IC50,nM,,11340.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,11.34
,,19330317,[],CHEMBL4418662,Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(CCS(=O)(=O)c2ccccc2)Cc2ccccc2[C@@H]2OC(c3ccccc3)=C[C@]12Cc1ccccc1,,,CHEMBL4418487,,2017,"{'bei': '11.02', 'le': '0.21', 'lle': '0.06', 'sei': '9.27'}",CHEMBL4455480,,CHEMBL4455480,5.90,0,http://www.openphacts.org/units/Nanomolar,3231770,=,38,1,=,,IC50,nM,,1250.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,1.25
,,19330318,[],CHEMBL4418662,Inhibition of Myc (unknown origin) expressed in HEK293T cells incubated for 16 hrs by firefly/renilla luciferase reporter gene assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1NCc2ccccc2[C@@H]2OC(c3ccccc3)=N[C@H]12,,,CHEMBL4418487,,2017,,CHEMBL4459833,,CHEMBL4459833,,0,http://www.openphacts.org/units/Nanomolar,3231771,>,38,1,>,,IC50,nM,,50000.0,CHEMBL1250348,Homo sapiens,Myc proto-oncogene protein,9606,,,IC50,uM,UO_0000065,,50.0
